id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1002139279281739905,House with magic sunsets and view over the lake,6064572,Hanna,,Skärholmens,59.281939866786274,17.87822797894478,Entire home/apt,3228.0,5,0,,,2,141,0,
1002882248457690862,Stadsnära boende i Villaidyll,525302323,Lars Axel,,Bromma,59.32621547120945,17.965523772603362,Entire home/apt,900.0,5,8,2025-08-16,0.54,1,83,3,
1004232730659095877,Small studio 29 sqm,274474494,ApartDirect,,Enskede-Årsta-Vantörs,59.27645951979452,18.030642800454068,Entire home/apt,359.0,30,0,,,10,118,0,
1004559235625090638,Luxury apartment in the heart of Södermalm,144865385,Jonas,,Södermalms,59.31857333738248,18.07105970442628,Entire home/apt,4000.0,1,0,,,1,269,0,
1004856042223518247,Apartment with amazing view,447671790,Patrik,,Kungsholmens,59.32080953678116,17.996529177916187,Entire home/apt,2778.0,1,12,2025-01-26,0.53,10,312,2,
1007086612462897937,Vindsvåning med utsikt,542807510,Maria,,Södermalms,59.3190488,18.0369337,Entire home/apt,2250.0,4,18,2025-08-16,1.07,1,269,9,
1007155910378653477,Härlig villa med centralt läge,57378475,Anna,,Hägersten-Liljeholmens,59.30855279999999,18.0020211,Entire home/apt,2750.0,5,6,2025-08-02,0.41,1,181,3,
1007546350401623841,Uthyres ett rum och kök,524412016,Sara,,Skärholmens,59.2786687,17.9009799,Private room,334.0,1,0,,,3,267,0,
1007717650748316843,Weekend in Stockholm,376114317,Adam,,Södermalms,59.31384881358026,18.089912936716285,Entire home/apt,2500.0,5,0,,,1,268,0,
1007915853364202844,Single room with Shared Bathroom at City Living,539472041,Hotel City Living,,Skarpnäcks,59.26441260000001,18.1330155,Private room,669.0,1,0,,,9,1,0,
1008593188104177732,Fint rum i vacker lägenhet mycket nära Avici Arena,493326926,Clara Lee,,Enskede-Årsta-Vantörs,59.29825557711978,18.075248916394045,Private room,900.0,1,11,2025-08-30,0.55,1,265,8,
1008812127524079389,cozy room in Hammarby sjöstad,62884716,Pernilla,,Södermalms,59.30752825027321,18.109274104462425,Private room,900.0,1,1,2025-08-24,0.81,10,265,1,
1009955599959087686,JUST FOR *WOMAN* - Lovely room,3596137,Lissandra,,Älvsjö,59.28028,18.00364,Private room,550.0,1,7,2025-08-29,0.31,2,247,3,
1010542126676031504,Bed & Breakfast at Hotel Tre små rum,378998653,City Living,,Södermalms,59.31509510000001,18.0630044,Private room,1170.0,1,2,2025-08-25,1.54,12,327,2,
1010859442843641770,"Stockholm, Sweden",543579742,Christine,,Rinkeby-Tensta,59.4081581,17.9334763,Private room,359.0,1,5,2025-06-11,0.22,1,243,4,
1012044086091856545,Room for rent near the nature,443141940,Gianluca,,Hässelby-Vällingby,59.38176990628951,17.813729095106517,Private room,360.0,1,0,,,1,269,0,
1012867045915781166,"Charming, cosy, peaceful place!",3596137,Lissandra,,Älvsjö,59.27943639999999,18.004011,Entire home/apt,1100.0,1,1,2024-07-25,0.07,2,1,0,
1014270682150482059,Sekelskiftesvåning med vacker stuckatur,33382759,Gustav,,Norrmalms,59.338982,18.05055,Entire home/apt,2500.0,30,4,2025-04-15,0.25,1,267,3,
1014282611532268180,Beautiful top floor apartment in Södermalm,535802771,Lukas,,Södermalms,59.31536680000001,18.0842662,Entire home/apt,2444.0,4,103,2025-09-24,4.49,51,341,52,
1015240378690431538,"Cosy house near city, lake and nature",347891185,Maria,,Farsta,59.2347109,18.0897462,Entire home/apt,1764.0,2,11,2025-09-08,0.66,1,265,8,
1018024409572636778,Inspire!,375248849,Aizhan,,Spånga-Tensta,59.3963821,17.907015,Private room,334.0,1,4,2025-09-14,0.23,1,270,2,
1018202879272258700,Trevligt & centralt Etageboende!,349444762,Josefin,,Östermalms,59.33737,18.08251,Private room,700.0,1,99,2025-09-23,4.32,1,42,40,
1018688692493708860,Visit Stockholm on foot,325885492,Old Town,,Södermalms,59.3256,18.06978,Entire home/apt,1836.0,2,63,2025-09-13,3.04,5,177,23,
1018695854531725629,Cosy Old Town,325885492,Old Town,,Södermalms,59.32496029752095,18.071261255754568,Entire home/apt,3282.0,2,120,2025-09-09,5.54,5,252,65,
1018698628424057177,Amazing,325885492,Old Town,,Södermalms,59.3254,18.07145,Entire home/apt,1270.0,1,110,2025-09-12,4.94,5,274,47,
1018705787670998042,"Sunny room 2. Coffee, tea for free",501520157,Andris,,Rinkeby-Tensta,59.41549444016567,17.909102324642024,Private room,247.0,2,10,2025-09-18,0.44,1,6,6,
1018721753775261505,Fin lägenhet väldigt centralt,325886610,Old Town Studio,,Södermalms,59.3233,18.06947,Entire home/apt,3470.0,2,99,2025-09-20,4.53,4,275,60,
1018796165595167792,Apartment - Hägersten/Liljeholmen,313104276,Dejan,,Hägersten-Liljeholmens,59.3025391,17.9450715,Entire home/apt,1341.0,3,14,2025-07-30,0.62,1,22,6,
1019029002369922023,Rum i Vällingby ej barn,520124858,Lena,,Hässelby-Vällingby,59.36433,17.8762,Private room,316.0,1,24,2025-09-07,1.1,1,179,13,
1019403390215336527,Mini lägenhet mycket centralt,140914167,Marianne,,Södermalms,59.32274,18.07022,Entire home/apt,1013.0,1,124,2025-09-14,8.1,2,264,97,
1020284581057256226,Cosy,106018799,Finrod,,Enskede-Årsta-Vantörs,59.26145,18.01541,Private room,540.0,1,0,,,2,365,0,
1020827532129365772,Newly renovated apartment in the heart of Vasastan,316782764,Clara,,Norrmalms,59.34509,18.03469,Entire home/apt,2181.0,4,77,2025-09-22,3.39,17,303,48,
1021597126017919449,Apartment in Kungsholmen,433290114,Filip,,Kungsholmens,59.334784,17.9999519,Entire home/apt,680.0,58,0,,,1,130,0,
1021766626181931262,Spacious flat for large group,140912731,Familjen Svensson,,Södermalms,59.32486353796644,18.070827276149785,Entire home/apt,2781.0,2,82,2025-09-25,3.94,1,297,36,
1023182600611463009,Luxurious city center flat,546162337,Robert,,Norrmalms,59.3355794,18.069558,Entire home/apt,720.0,60,2,2024-05-20,0.11,1,271,0,
